x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name,frame_index,center_x,center_y,time,sliding_window_x,sliding_window_y,real_world_x,real_world_y,real_world_sw_x,real_world_sw_y,latitude,longitude,speed,nr_people
147.00043,140.7317,166.41315,184.29272,0,0.63790447,6,person,57,156.7068,162.5122,4.0,148.787,161.7804,1089594.57592829,6123167.976415292,1089594.1743,6123167.2775,9.787994610501112,48.097963525622184,1.1130095653745464,35
159.06644,139.56157,180.5857,184.3393,0,0.76057786,6,person,64,169.8261,161.9504,4.5,163.1095,162.2313,1089594.61652494,6123168.819685092,1089594.5962,6123168.2083,9.787994975187024,48.097968584801876,1.1829123675101982,33
175.73062,138.63937,191.46214,184.51411,0,0.5664944,6,person,72,183.5964,161.5767,5.0,177.1853,161.5745,1089594.6863983334,6123169.712068245,1089594.5749,6123169.3301,9.787995602870396,48.09797393863555,1.6345940778838843,35
187.05574,135.95232,207.06274,186.58235,0,0.5420875,6,person,79,197.0592,161.2673,5.5,192.6054,161.4623,1089595.1644779558,6123170.722521831,1089594.9692,6123170.4799,9.787999897532714,48.097980000829615,1.669649978613947,34
202.62941,135.60638,223.91145,183.38275,0,0.8407138,6,person,87,213.2704,159.4946,6.0,209.0464,160.4592,1089594.5090485867,6123171.516098289,1089594.9621,6123171.3474,9.787994009710516,48.09798476187361,1.4684652199304393,33
214.68082,137.15643,240.49263,184.72179,0,0.8651106,6,person,94,227.5867,160.9391,6.5,221.4569,159.5854,1089594.8323763192,6123172.519167734,1089594.5637,6123172.0476,9.787996914212954,48.09799077976541,1.459542525841938,34
231.761,137.58392,259.71796,183.93526,0,0.8318009,6,person,102,245.7395,160.7596,7.0,233.7996,160.6302,1089594.703869381,6123173.610802083,1089594.6891,6123172.6606,9.787995759815487,48.09799732899949,0.8985493194634688,34
246.80455,136.59332,263.65057,184.56172,0,0.8291989,6,person,109,255.2276,160.5775,7.5,248.7572,160.5297,1089594.8608407322,6123174.250932292,1089594.8449,6123173.8136,9.787997169913128,48.09800116944493,1.820381557297293,33
260.21292,135.65877,279.52533,187.06836,0,0.7456558,6,person,117,269.8691,161.3636,8.0,265.3716,161.2764,1089595.4310371983,6123175.333236391,1089595.319,6123175.0924,9.78800229207513,48.098007662701086,0.7808536966373223,30
268.461,139.21785,290.85706,186.68013,0,0.8180289,6,person,124,279.659,162.949,8.5,276.299,162.7756,1089595.3699291018,6123175.919192906,1089595.3994,6123175.6778,9.78800174313176,48.09801117813209,1.9344915051677598,32
281.7394,142.01898,301.37808,190.06659,0,0.8050383,6,person,132,291.5587,166.0428,9.0,286.9576,164.5978,1089596.1128745659,6123176.868776823,1089595.8441,6123176.5089,9.788008417124418,48.0980168751358,2.446042073745264,32
289.58423,144.11603,313.50137,195.11258,0,0.7737455,6,person,139,301.5428,169.6143,9.5,295.8197,168.1019,1089597.1838565236,6123177.784681448,1089596.9837,6123177.345,9.788018037919034,48.09802237008088,1.6057077869725138,31
298.23907,146.15906,318.73273,198.45236,0,0.78470194,6,person,147,308.4859,172.3057,10.0,304.9559,170.2878,1089597.881224367,6123178.400817325,1089597.4389,6123178.0754,9.788024302480958,48.09802606657112,0,31
553.23926,264.01938,569.3733,307.96112,0,0.4590713,7,person,3,561.3063,285.9902,0.0,561.3063,285.9902,1089616.4344794785,6123196.001053159,1089616.4345,6123196.0011,9.788190969207326,48.09813165858947,0.16178152554015854,24
556.6422,263.81207,570.79346,307.7028,0,0.34871045,7,person,4,563.7178,285.7574,0.5,562.512,285.8738,1089616.3995565637,6123196.112068889,1089616.417,6123196.0566,9.788190655489444,48.0981323246239,1.0698654730070025,29
573.6753,264.6761,587.69293,307.1917,0,0.7108074,7,person,12,580.6841,285.9339,1.0,572.9298,286.2974,1089616.3335990922,6123196.91866939,1089616.4953,6123196.5671,9.788190062983398,48.098137163791,1.3531723388891606,33
589.6238,265.86407,604.7194,310.02512,0,0.69243675,7,person,20,597.1716,287.9446,1.5,586.3669,287.0941,1089616.7257826026,6123197.759001259,1089616.5185,6123197.2263,9.788193586027813,48.0981422053276,0.982004410743188,34
603.5117,267.09692,619.2556,311.28232,0,0.80241925,7,person,27,611.3836,289.1896,2.0,603.2467,289.1861,1089616.899935071,6123198.457121047,1089616.912,6123198.0739,9.788195150466054,48.09814639366828,0.9489108820655198,33
619.78204,268.3675,633.1978,310.5787,0,0.5893105,7,person,34,626.4899,289.4731,2.5,618.614,289.9319,1089616.8077906321,6123199.164412773,1089617.026,6123198.8388,9.788194322718475,48.09815063703527,1.1571612836367784,35
635.8097,268.40662,650.6459,312.15295,0,0.7751962,7,person,42,643.2278,290.2798,3.0,635.253,290.8994,1089617.0245507425,6123199.980278788,1089617.1957,6123199.6235,9.788196269907678,48.09815553178871,0.8032303196504647,36
648.4898,269.85895,663.8185,311.7843,0,0.59307224,7,person,49,656.1542,290.8216,3.5,650.5078,291.2938,1089616.9775080571,6123200.586305914,1089617.1801,6123200.3496,9.788195847316045,48.09815916762236,1.2919431187847337,36
